vid,split,category,filename,video_path,audio_path,inter_frame_path
IKj9E33H8e8,train,pig oinking,IKj9E33H8e8_000012,video/IKj9E33H8e8_12000_22000.mp4,audio_wav/IKj9E33H8e8_000012.wav,inter_frame/IKj9E33H8e8_000012.png
C4ohT_abpjc,train,playing vibraphone,C4ohT_abpjc_000127,video/C4ohT_abpjc_127000_137000.mp4,audio_wav/C4ohT_abpjc_000127.wav,inter_frame/C4ohT_abpjc_000127.png
8kB53AoF-gE,train,sliding door,8kB53AoF-gE_000050,video/8kB53AoF-gE_50000_60000.mp4,audio_wav/8kB53AoF-gE_000050.wav,inter_frame/8kB53AoF-gE_000050.png
OAeTrtaMl44,train,yodelling,OAeTrtaMl44_000147,video/OAeTrtaMl44_147000_157000.mp4,audio_wav/OAeTrtaMl44_000147.wav,inter_frame/OAeTrtaMl44_000147.png
mYsyXbdBCs0,train,alarm clock ringing,mYsyXbdBCs0_000031,video/mYsyXbdBCs0_31000_41000.mp4,audio_wav/mYsyXbdBCs0_000031.wav,inter_frame/mYsyXbdBCs0_000031.png
KvcxzJxNkkU,train,bird wings flapping,KvcxzJxNkkU_000190,video/KvcxzJxNkkU_190000_200000.mp4,audio_wav/KvcxzJxNkkU_000190.wav,inter_frame/KvcxzJxNkkU_000190.png
HwDPmY2_6f4,train,playing french horn,HwDPmY2_6f4_000117,video/HwDPmY2_6f4_117000_127000.mp4,audio_wav/HwDPmY2_6f4_000117.wav,inter_frame/HwDPmY2_6f4_000117.png
WxJYaaCPTH8,train,fox barking,WxJYaaCPTH8_000014,video/WxJYaaCPTH8_14000_24000.mp4,audio_wav/WxJYaaCPTH8_000014.wav,inter_frame/WxJYaaCPTH8_000014.png
r0LfbvpX6Ys,train,people burping,r0LfbvpX6Ys_000282,video/r0LfbvpX6Ys_282000_292000.mp4,audio_wav/r0LfbvpX6Ys_000282.wav,inter_frame/r0LfbvpX6Ys_000282.png
eJZdoY4z6Zc,train,driving buses,eJZdoY4z6Zc_000011,video/eJZdoY4z6Zc_11000_21000.mp4,audio_wav/eJZdoY4z6Zc_000011.wav,inter_frame/eJZdoY4z6Zc_000011.png
mAQ50Ur-KPc,train,slot machine,mAQ50Ur-KPc_000411,video/mAQ50Ur-KPc_411000_421000.mp4,audio_wav/mAQ50Ur-KPc_000411.wav,inter_frame/mAQ50Ur-KPc_000411.png
1H9KC7cQ8C8,train,playing harpsichord,1H9KC7cQ8C8_000030,video/1H9KC7cQ8C8_30000_40000.mp4,audio_wav/1H9KC7cQ8C8_000030.wav,inter_frame/1H9KC7cQ8C8_000030.png
bWmq9_70k2g,train,"railroad car, train wagon",bWmq9_70k2g_000130,video/bWmq9_70k2g_130000_140000.mp4,audio_wav/bWmq9_70k2g_000130.wav,inter_frame/bWmq9_70k2g_000130.png
3leo_g4VUoM,train,playing didgeridoo,3leo_g4VUoM_000092,video/3leo_g4VUoM_92000_102000.mp4,audio_wav/3leo_g4VUoM_000092.wav,inter_frame/3leo_g4VUoM_000092.png
Zsf38NYzo5Q,train,machine gun shooting,Zsf38NYzo5Q_000147,video/Zsf38NYzo5Q_147000_157000.mp4,audio_wav/Zsf38NYzo5Q_000147.wav,inter_frame/Zsf38NYzo5Q_000147.png
1WaTnza9cn0,train,"playing violin, fiddle",1WaTnza9cn0_000160,video/1WaTnza9cn0_160000_170000.mp4,audio_wav/1WaTnza9cn0_000160.wav,inter_frame/1WaTnza9cn0_000160.png
iPB6rrmBh0M,train,typing on computer keyboard,iPB6rrmBh0M_000040,video/iPB6rrmBh0M_40000_50000.mp4,audio_wav/iPB6rrmBh0M_000040.wav,inter_frame/iPB6rrmBh0M_000040.png
3S2-TODd__k,train,train horning,3S2-TODd__k_000090,video/3S2-TODd__k_90000_100000.mp4,audio_wav/3S2-TODd__k_000090.wav,inter_frame/3S2-TODd__k_000090.png
1452Cl7YRDA,train,playing gong,1452Cl7YRDA_000075,video/1452Cl7YRDA_75000_85000.mp4,audio_wav/1452Cl7YRDA_000075.wav,inter_frame/1452Cl7YRDA_000075.png
aZsMmmczKm0,train,playing bass guitar,aZsMmmczKm0_000048,video/aZsMmmczKm0_48000_58000.mp4,audio_wav/aZsMmmczKm0_000048.wav,inter_frame/aZsMmmczKm0_000048.png
qo7bb45LOMU,train,planing timber,qo7bb45LOMU_000008,video/qo7bb45LOMU_8000_18000.mp4,audio_wav/qo7bb45LOMU_000008.wav,inter_frame/qo7bb45LOMU_000008.png
18ZXCs5N-Pc,train,typing on typewriter,18ZXCs5N-Pc_000288,video/18ZXCs5N-Pc_288000_298000.mp4,audio_wav/18ZXCs5N-Pc_000288.wav,inter_frame/18ZXCs5N-Pc_000288.png
FGQ7BwsixYg,train,playing cello,FGQ7BwsixYg_000340,video/FGQ7BwsixYg_340000_350000.mp4,audio_wav/FGQ7BwsixYg_000340.wav,inter_frame/FGQ7BwsixYg_000340.png
XcG5bW-Hk7E,train,cricket chirping,XcG5bW-Hk7E_000016,video/XcG5bW-Hk7E_16000_26000.mp4,audio_wav/XcG5bW-Hk7E_000016.wav,inter_frame/XcG5bW-Hk7E_000016.png
LGROeInZI5o,train,"pigeon, dove cooing",LGROeInZI5o_000030,video/LGROeInZI5o_30000_40000.mp4,audio_wav/LGROeInZI5o_000030.wav,inter_frame/LGROeInZI5o_000030.png
I0D2w_uVfiM,train,lighting firecrackers,I0D2w_uVfiM_000015,video/I0D2w_uVfiM_15000_25000.mp4,audio_wav/I0D2w_uVfiM_000015.wav,inter_frame/I0D2w_uVfiM_000015.png
qSUYdR8BkYo,train,driving buses,qSUYdR8BkYo_000030,video/qSUYdR8BkYo_30000_40000.mp4,audio_wav/qSUYdR8BkYo_000030.wav,inter_frame/qSUYdR8BkYo_000030.png
86kGmAZLmIM,train,playing electric guitar,86kGmAZLmIM_000030,video/86kGmAZLmIM_30000_40000.mp4,audio_wav/86kGmAZLmIM_000030.wav,inter_frame/86kGmAZLmIM_000030.png
YPo6QClAY3U,train,people screaming,YPo6QClAY3U_000020,video/YPo6QClAY3U_20000_30000.mp4,audio_wav/YPo6QClAY3U_000020.wav,inter_frame/YPo6QClAY3U_000020.png
8b2ASj5nmos,train,playing darts,8b2ASj5nmos_000282,video/8b2ASj5nmos_282000_292000.mp4,audio_wav/8b2ASj5nmos_000282.wav,inter_frame/8b2ASj5nmos_000282.png
06JHFyByjck,train,playing darts,06JHFyByjck_000001,video/06JHFyByjck_1000_11000.mp4,audio_wav/06JHFyByjck_000001.wav,inter_frame/06JHFyByjck_000001.png
BvEp_tPczvU,train,machine gun shooting,BvEp_tPczvU_000040,video/BvEp_tPczvU_40000_50000.mp4,audio_wav/BvEp_tPczvU_000040.wav,inter_frame/BvEp_tPczvU_000040.png
3CN1bEDNqDI,train,people hiccup,3CN1bEDNqDI_000500,video/3CN1bEDNqDI_500000_510000.mp4,audio_wav/3CN1bEDNqDI_000500.wav,inter_frame/3CN1bEDNqDI_000500.png
M1Tj2YyDAGY,train,playing harpsichord,M1Tj2YyDAGY_000018,video/M1Tj2YyDAGY_18000_28000.mp4,audio_wav/M1Tj2YyDAGY_000018.wav,inter_frame/M1Tj2YyDAGY_000018.png
dlgTjhOlLOY,train,playing trumpet,dlgTjhOlLOY_000030,video/dlgTjhOlLOY_30000_40000.mp4,audio_wav/dlgTjhOlLOY_000030.wav,inter_frame/dlgTjhOlLOY_000030.png
om5g_Ztf73I,train,tap dancing,om5g_Ztf73I_000110,video/om5g_Ztf73I_110000_120000.mp4,audio_wav/om5g_Ztf73I_000110.wav,inter_frame/om5g_Ztf73I_000110.png
GPqVMmVgtp4,train,playing acoustic guitar,GPqVMmVgtp4_000050,video/GPqVMmVgtp4_50000_60000.mp4,audio_wav/GPqVMmVgtp4_000050.wav,inter_frame/GPqVMmVgtp4_000050.png
y7DyD_4zaq4,train,bowling impact,y7DyD_4zaq4_000187,video/y7DyD_4zaq4_187000_197000.mp4,audio_wav/y7DyD_4zaq4_000187.wav,inter_frame/y7DyD_4zaq4_000187.png
162EzOd4Wt8,train,"railroad car, train wagon",162EzOd4Wt8_000020,video/162EzOd4Wt8_20000_30000.mp4,audio_wav/162EzOd4Wt8_000020.wav,inter_frame/162EzOd4Wt8_000020.png
udlfNLNq7V4,train,playing gong,udlfNLNq7V4_000013,video/udlfNLNq7V4_13000_23000.mp4,audio_wav/udlfNLNq7V4_000013.wav,inter_frame/udlfNLNq7V4_000013.png
ho-Z_TwhUXE,train,playing cymbal,ho-Z_TwhUXE_000110,video/ho-Z_TwhUXE_110000_120000.mp4,audio_wav/ho-Z_TwhUXE_000110.wav,inter_frame/ho-Z_TwhUXE_000110.png
6vol1c4tuXY,train,dinosaurs bellowing,6vol1c4tuXY_000110,video/6vol1c4tuXY_110000_120000.mp4,audio_wav/6vol1c4tuXY_000110.wav,inter_frame/6vol1c4tuXY_000110.png
TKMrZJLiXkY,train,elk bugling,TKMrZJLiXkY_000107,video/TKMrZJLiXkY_107000_117000.mp4,audio_wav/TKMrZJLiXkY_000107.wav,inter_frame/TKMrZJLiXkY_000107.png
Axhfz2XxF2g,train,cat purring,Axhfz2XxF2g_000010,video/Axhfz2XxF2g_10000_20000.mp4,audio_wav/Axhfz2XxF2g_000010.wav,inter_frame/Axhfz2XxF2g_000010.png
BEQE8ETUGVc,train,playing cornet,BEQE8ETUGVc_000080,video/BEQE8ETUGVc_80000_90000.mp4,audio_wav/BEQE8ETUGVc_000080.wav,inter_frame/BEQE8ETUGVc_000080.png
_3KGXtyOjRA,train,male singing,_3KGXtyOjRA_000030,video/_3KGXtyOjRA_30000_40000.mp4,audio_wav/_3KGXtyOjRA_000030.wav,inter_frame/_3KGXtyOjRA_000030.png
UV5e0GCDxV8,train,snake hissing,UV5e0GCDxV8_000004,video/UV5e0GCDxV8_4000_14000.mp4,audio_wav/UV5e0GCDxV8_000004.wav,inter_frame/UV5e0GCDxV8_000004.png
e6OX_0izuo4,train,people clapping,e6OX_0izuo4_000260,video/e6OX_0izuo4_260000_270000.mp4,audio_wav/e6OX_0izuo4_000260.wav,inter_frame/e6OX_0izuo4_000260.png
o-jdciXuLTc,train,chinchilla barking,o-jdciXuLTc_000095,video/o-jdciXuLTc_95000_105000.mp4,audio_wav/o-jdciXuLTc_000095.wav,inter_frame/o-jdciXuLTc_000095.png
CgUcQCJT7xU,train,playing trumpet,CgUcQCJT7xU_000030,video/CgUcQCJT7xU_30000_40000.mp4,audio_wav/CgUcQCJT7xU_000030.wav,inter_frame/CgUcQCJT7xU_000030.png
OSNGQfrx0FY,train,playing steelpan,OSNGQfrx0FY_000146,video/OSNGQfrx0FY_146000_156000.mp4,audio_wav/OSNGQfrx0FY_000146.wav,inter_frame/OSNGQfrx0FY_000146.png
OpyP3v5aPKE,train,vacuum cleaner cleaning floors,OpyP3v5aPKE_000006,video/OpyP3v5aPKE_6000_16000.mp4,audio_wav/OpyP3v5aPKE_000006.wav,inter_frame/OpyP3v5aPKE_000006.png
NBjSURAkJBw,train,"ice cream truck, ice cream van",NBjSURAkJBw_000023,video/NBjSURAkJBw_23000_33000.mp4,audio_wav/NBjSURAkJBw_000023.wav,inter_frame/NBjSURAkJBw_000023.png
1h1X7bUHCSs,train,playing bass guitar,1h1X7bUHCSs_000000,video/1h1X7bUHCSs_0_10000.mp4,audio_wav/1h1X7bUHCSs_000000.wav,inter_frame/1h1X7bUHCSs_000000.png
xb6eyQ53j3c,train,cat hissing,xb6eyQ53j3c_000126,video/xb6eyQ53j3c_126000_136000.mp4,audio_wav/xb6eyQ53j3c_000126.wav,inter_frame/xb6eyQ53j3c_000126.png
Bhb-QoI5xYw,train,people burping,Bhb-QoI5xYw_000140,video/Bhb-QoI5xYw_140000_150000.mp4,audio_wav/Bhb-QoI5xYw_000140.wav,inter_frame/Bhb-QoI5xYw_000140.png
rhHezkpxU7o,train,tapping guitar,rhHezkpxU7o_000000,video/rhHezkpxU7o_0_10000.mp4,audio_wav/rhHezkpxU7o_000000.wav,inter_frame/rhHezkpxU7o_000000.png
BGCtuZt-SUw,train,gibbon howling,BGCtuZt-SUw_000129,video/BGCtuZt-SUw_129000_139000.mp4,audio_wav/BGCtuZt-SUw_000129.wav,inter_frame/BGCtuZt-SUw_000129.png
wVCbjhnROa8,train,singing bowl,wVCbjhnROa8_000011,video/wVCbjhnROa8_11000_21000.mp4,audio_wav/wVCbjhnROa8_000011.wav,inter_frame/wVCbjhnROa8_000011.png
xCMJ4zn00B0,train,playing darts,xCMJ4zn00B0_000130,video/xCMJ4zn00B0_130000_140000.mp4,audio_wav/xCMJ4zn00B0_000130.wav,inter_frame/xCMJ4zn00B0_000130.png
eVeNIfjNSEc,train,lions growling,eVeNIfjNSEc_000130,video/eVeNIfjNSEc_130000_140000.mp4,audio_wav/eVeNIfjNSEc_000130.wav,inter_frame/eVeNIfjNSEc_000130.png
i9yKmzZz9AY,train,train wheels squealing,i9yKmzZz9AY_000096,video/i9yKmzZz9AY_96000_106000.mp4,audio_wav/i9yKmzZz9AY_000096.wav,inter_frame/i9yKmzZz9AY_000096.png
5TFRPUlOnVE,train,playing table tennis,5TFRPUlOnVE_000056,video/5TFRPUlOnVE_56000_66000.mp4,audio_wav/5TFRPUlOnVE_000056.wav,inter_frame/5TFRPUlOnVE_000056.png
cgAVHFjKmg0,train,playing oboe,cgAVHFjKmg0_000092,video/cgAVHFjKmg0_92000_102000.mp4,audio_wav/cgAVHFjKmg0_000092.wav,inter_frame/cgAVHFjKmg0_000092.png
PtO29vzkNtI,train,lighting firecrackers,PtO29vzkNtI_000047,video/PtO29vzkNtI_47000_57000.mp4,audio_wav/PtO29vzkNtI_000047.wav,inter_frame/PtO29vzkNtI_000047.png
1haMfhatSAs,train,horse clip-clop,1haMfhatSAs_000030,video/1haMfhatSAs_30000_40000.mp4,audio_wav/1haMfhatSAs_000030.wav,inter_frame/1haMfhatSAs_000030.png
CEz9BTjBLbo,train,playing gong,CEz9BTjBLbo_000051,video/CEz9BTjBLbo_51000_61000.mp4,audio_wav/CEz9BTjBLbo_000051.wav,inter_frame/CEz9BTjBLbo_000051.png
iLF_Ir3L800,train,people crowd,iLF_Ir3L800_000815,video/iLF_Ir3L800_815000_825000.mp4,audio_wav/iLF_Ir3L800_000815.wav,inter_frame/iLF_Ir3L800_000815.png
s2W_9ackKSw,train,cat purring,s2W_9ackKSw_000080,video/s2W_9ackKSw_80000_90000.mp4,audio_wav/s2W_9ackKSw_000080.wav,inter_frame/s2W_9ackKSw_000080.png
2wNLSS1we2M,train,skidding,2wNLSS1we2M_000005,video/2wNLSS1we2M_5000_15000.mp4,audio_wav/2wNLSS1we2M_000005.wav,inter_frame/2wNLSS1we2M_000005.png
O7MoI82bvKo,train,sailing,O7MoI82bvKo_000080,video/O7MoI82bvKo_80000_90000.mp4,audio_wav/O7MoI82bvKo_000080.wav,inter_frame/O7MoI82bvKo_000080.png
5GUTCDIP02U,train,ambulance siren,5GUTCDIP02U_000030,video/5GUTCDIP02U_30000_40000.mp4,audio_wav/5GUTCDIP02U_000030.wav,inter_frame/5GUTCDIP02U_000030.png
awAGC4zj3rs,train,playing shofar,awAGC4zj3rs_000058,video/awAGC4zj3rs_58000_68000.mp4,audio_wav/awAGC4zj3rs_000058.wav,inter_frame/awAGC4zj3rs_000058.png
HLDItHIUVKQ,train,playing cymbal,HLDItHIUVKQ_000030,video/HLDItHIUVKQ_30000_40000.mp4,audio_wav/HLDItHIUVKQ_000030.wav,inter_frame/HLDItHIUVKQ_000030.png
Bfo5EgRtz8A,train,playing lacrosse,Bfo5EgRtz8A_000044,video/Bfo5EgRtz8A_44000_54000.mp4,audio_wav/Bfo5EgRtz8A_000044.wav,inter_frame/Bfo5EgRtz8A_000044.png
uZghS49MC1k,train,skidding,uZghS49MC1k_000180,video/uZghS49MC1k_180000_190000.mp4,audio_wav/uZghS49MC1k_000180.wav,inter_frame/uZghS49MC1k_000180.png
Jt3nVl306A8,train,"bird chirping, tweeting",Jt3nVl306A8_000030,video/Jt3nVl306A8_30000_40000.mp4,audio_wav/Jt3nVl306A8_000030.wav,inter_frame/Jt3nVl306A8_000030.png
6Zn4qXw-2ew,train,people cheering,6Zn4qXw-2ew_000030,video/6Zn4qXw-2ew_30000_40000.mp4,audio_wav/6Zn4qXw-2ew_000030.wav,inter_frame/6Zn4qXw-2ew_000030.png
fFvnBRmkUtA,train,people running,fFvnBRmkUtA_000030,video/fFvnBRmkUtA_30000_40000.mp4,audio_wav/fFvnBRmkUtA_000030.wav,inter_frame/fFvnBRmkUtA_000030.png
TIb8CQ9pevY,train,playing double bass,TIb8CQ9pevY_000030,video/TIb8CQ9pevY_30000_40000.mp4,audio_wav/TIb8CQ9pevY_000030.wav,inter_frame/TIb8CQ9pevY_000030.png
fFA5mzWoj6I,train,playing harp,fFA5mzWoj6I_000121,video/fFA5mzWoj6I_121000_131000.mp4,audio_wav/fFA5mzWoj6I_000121.wav,inter_frame/fFA5mzWoj6I_000121.png
LqsJbF2yEuU,train,playing cello,LqsJbF2yEuU_000030,video/LqsJbF2yEuU_30000_40000.mp4,audio_wav/LqsJbF2yEuU_000030.wav,inter_frame/LqsJbF2yEuU_000030.png
XspFWA6UTmA,train,playing harp,XspFWA6UTmA_000490,video/XspFWA6UTmA_490000_500000.mp4,audio_wav/XspFWA6UTmA_000490.wav,inter_frame/XspFWA6UTmA_000490.png
S7URMXZKEuM,train,"ice cream truck, ice cream van",S7URMXZKEuM_000084,video/S7URMXZKEuM_84000_94000.mp4,audio_wav/S7URMXZKEuM_000084.wav,inter_frame/S7URMXZKEuM_000084.png
CnztZrmOksY,train,people coughing,CnztZrmOksY_000050,video/CnztZrmOksY_50000_60000.mp4,audio_wav/CnztZrmOksY_000050.wav,inter_frame/CnztZrmOksY_000050.png
l7ELBtiVtQ8,train,striking pool,l7ELBtiVtQ8_000169,video/l7ELBtiVtQ8_169000_179000.mp4,audio_wav/l7ELBtiVtQ8_000169.wav,inter_frame/l7ELBtiVtQ8_000169.png
0s2r6Tw6GlA,train,"motorboat, speedboat acceleration",0s2r6Tw6GlA_000001,video/0s2r6Tw6GlA_1000_11000.mp4,audio_wav/0s2r6Tw6GlA_000001.wav,inter_frame/0s2r6Tw6GlA_000001.png
VnGSD-GYq2g,train,playing trombone,VnGSD-GYq2g_000520,video/VnGSD-GYq2g_520000_530000.mp4,audio_wav/VnGSD-GYq2g_000520.wav,inter_frame/VnGSD-GYq2g_000520.png
R9xVMs0N6N4,train,reversing beeps,R9xVMs0N6N4_000001,video/R9xVMs0N6N4_1000_11000.mp4,audio_wav/R9xVMs0N6N4_000001.wav,inter_frame/R9xVMs0N6N4_000001.png
V1y8ituJAT8,train,orchestra,V1y8ituJAT8_000050,video/V1y8ituJAT8_50000_60000.mp4,audio_wav/V1y8ituJAT8_000050.wav,inter_frame/V1y8ituJAT8_000050.png
eY-Z97PApDo,train,stream burbling,eY-Z97PApDo_000090,video/eY-Z97PApDo_90000_100000.mp4,audio_wav/eY-Z97PApDo_000090.wav,inter_frame/eY-Z97PApDo_000090.png
RIhDeDI4eaY,train,bouncing on trampoline,RIhDeDI4eaY_000087,video/RIhDeDI4eaY_87000_97000.mp4,audio_wav/RIhDeDI4eaY_000087.wav,inter_frame/RIhDeDI4eaY_000087.png
MeoQ4yTvkAg,train,airplane flyby,MeoQ4yTvkAg_000001,video/MeoQ4yTvkAg_1000_11000.mp4,audio_wav/MeoQ4yTvkAg_000001.wav,inter_frame/MeoQ4yTvkAg_000001.png
3-9x1Fw9efc,train,people slapping,3-9x1Fw9efc_000042,video/3-9x1Fw9efc_42000_52000.mp4,audio_wav/3-9x1Fw9efc_000042.wav,inter_frame/3-9x1Fw9efc_000042.png
yTv-ufZc_CI,train,people eating apple,yTv-ufZc_CI_000010,video/yTv-ufZc_CI_10000_20000.mp4,audio_wav/yTv-ufZc_CI_000010.wav,inter_frame/yTv-ufZc_CI_000010.png
5SKE2qsDhw0,train,firing muskets,5SKE2qsDhw0_000252,video/5SKE2qsDhw0_252000_262000.mp4,audio_wav/5SKE2qsDhw0_000252.wav,inter_frame/5SKE2qsDhw0_000252.png
0v5HbzC_ljA,train,sharpen knife,0v5HbzC_ljA_000124,video/0v5HbzC_ljA_124000_134000.mp4,audio_wav/0v5HbzC_ljA_000124.wav,inter_frame/0v5HbzC_ljA_000124.png
6D-xqwSIYR4,train,female singing,6D-xqwSIYR4_000030,video/6D-xqwSIYR4_30000_40000.mp4,audio_wav/6D-xqwSIYR4_000030.wav,inter_frame/6D-xqwSIYR4_000030.png
PMfIQRPGnog,train,opening or closing car electric windows,PMfIQRPGnog_000097,video/PMfIQRPGnog_97000_107000.mp4,audio_wav/PMfIQRPGnog_000097.wav,inter_frame/PMfIQRPGnog_000097.png
g5rLaMFbiyg,train,playing bassoon,g5rLaMFbiyg_000467,video/g5rLaMFbiyg_467000_477000.mp4,audio_wav/g5rLaMFbiyg_000467.wav,inter_frame/g5rLaMFbiyg_000467.png
VwHg0byqPm0,train,people farting,VwHg0byqPm0_000020,video/VwHg0byqPm0_20000_30000.mp4,audio_wav/VwHg0byqPm0_000020.wav,inter_frame/VwHg0byqPm0_000020.png
zya8VU9Pl_Y,train,baby laughter,zya8VU9Pl_Y_000000,video/zya8VU9Pl_Y_0_10000.mp4,audio_wav/zya8VU9Pl_Y_000000.wav,inter_frame/zya8VU9Pl_Y_000000.png
CNZj2Ai6Wts,train,people marching,CNZj2Ai6Wts_000131,video/CNZj2Ai6Wts_131000_141000.mp4,audio_wav/CNZj2Ai6Wts_000131.wav,inter_frame/CNZj2Ai6Wts_000131.png
HWs4n-nRfJI,train,skiing,HWs4n-nRfJI_000362,video/HWs4n-nRfJI_362000_372000.mp4,audio_wav/HWs4n-nRfJI_000362.wav,inter_frame/HWs4n-nRfJI_000362.png
-YmL_LVVra0,train,wood thrush calling,-YmL_LVVra0_000179,video/-YmL_LVVra0_179000_189000.mp4,audio_wav/-YmL_LVVra0_000179.wav,inter_frame/-YmL_LVVra0_000179.png
HOeYeDRiwds,train,playing trumpet,HOeYeDRiwds_000220,video/HOeYeDRiwds_220000_230000.mp4,audio_wav/HOeYeDRiwds_000220.wav,inter_frame/HOeYeDRiwds_000220.png
m3kTkE1Xekk,train,playing snare drum,m3kTkE1Xekk_000030,video/m3kTkE1Xekk_30000_40000.mp4,audio_wav/m3kTkE1Xekk_000030.wav,inter_frame/m3kTkE1Xekk_000030.png
zgBqT-7ZhLA,train,cell phone buzzing,zgBqT-7ZhLA_000131,video/zgBqT-7ZhLA_131000_141000.mp4,audio_wav/zgBqT-7ZhLA_000131.wav,inter_frame/zgBqT-7ZhLA_000131.png
V-6F2JNxXHo,train,using sewing machines,V-6F2JNxXHo_000080,video/V-6F2JNxXHo_80000_90000.mp4,audio_wav/V-6F2JNxXHo_000080.wav,inter_frame/V-6F2JNxXHo_000080.png
wdDZWK38Evc,train,fox barking,wdDZWK38Evc_000040,video/wdDZWK38Evc_40000_50000.mp4,audio_wav/wdDZWK38Evc_000040.wav,inter_frame/wdDZWK38Evc_000040.png
CVL_4sHnTzk,train,toilet flushing,CVL_4sHnTzk_000032,video/CVL_4sHnTzk_32000_42000.mp4,audio_wav/CVL_4sHnTzk_000032.wav,inter_frame/CVL_4sHnTzk_000032.png
wnkNrMLVLww,train,coyote howling,wnkNrMLVLww_000006,video/wnkNrMLVLww_6000_16000.mp4,audio_wav/wnkNrMLVLww_000006.wav,inter_frame/wnkNrMLVLww_000006.png
XDlWtJKn7Ls,train,baby babbling,XDlWtJKn7Ls_000028,video/XDlWtJKn7Ls_28000_38000.mp4,audio_wav/XDlWtJKn7Ls_000028.wav,inter_frame/XDlWtJKn7Ls_000028.png
5gBk04ajuxk,train,elk bugling,5gBk04ajuxk_000012,video/5gBk04ajuxk_12000_22000.mp4,audio_wav/5gBk04ajuxk_000012.wav,inter_frame/5gBk04ajuxk_000012.png
jvDgFX5Koos,train,playing flute,jvDgFX5Koos_000220,video/jvDgFX5Koos_220000_230000.mp4,audio_wav/jvDgFX5Koos_000220.wav,inter_frame/jvDgFX5Koos_000220.png
W_BhamoTpIs,train,"race car, auto racing",W_BhamoTpIs_000010,video/W_BhamoTpIs_10000_20000.mp4,audio_wav/W_BhamoTpIs_000010.wav,inter_frame/W_BhamoTpIs_000010.png
CfOmpgxf6CM,train,"bee, wasp, etc. buzzing",CfOmpgxf6CM_000012,video/CfOmpgxf6CM_12000_22000.mp4,audio_wav/CfOmpgxf6CM_000012.wav,inter_frame/CfOmpgxf6CM_000012.png
6OskTbW5LW8,train,cheetah chirrup,6OskTbW5LW8_000018,video/6OskTbW5LW8_18000_28000.mp4,audio_wav/6OskTbW5LW8_000018.wav,inter_frame/6OskTbW5LW8_000018.png
6qRJi_Va7jI,train,black capped chickadee calling,6qRJi_Va7jI_000037,video/6qRJi_Va7jI_37000_47000.mp4,audio_wav/6qRJi_Va7jI_000037.wav,inter_frame/6qRJi_Va7jI_000037.png
KbHPe6PdKhA,train,basketball bounce,KbHPe6PdKhA_000001,video/KbHPe6PdKhA_1000_11000.mp4,audio_wav/KbHPe6PdKhA_000001.wav,inter_frame/KbHPe6PdKhA_000001.png
